정산일자,,L PRT,사업장,창고,품목구분,상품군,상품군2,품번,품명,펄,폭/규격,Roll No / Lot No,이전품번,OPEN,location,단위,사용,재고수량,PO 번호,생산지,INV#,,Year
20260119 ,88,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064506,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,200",P00001933,SRL,5169671,,
20260119 ,89,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064528,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,000",P00001933,SRL,5169671,,
20260119 ,90,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064542,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,000",P00001933,SRL,5169671,,
20260119 ,91,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-001,Laricio Pine Quer,X,1260,4064592,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,150",P00001933,SRL,5169671,,
20260119 ,92,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-108,Laricio Pine Quer,X,1260,3448462,,Y,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"3,598",P00000994,SRL,5154041,,
20260119 ,93,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-108,Laricio Pine Quer,X,1260,3448618,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,100",P00000994,SRL,5154041,,
20260119 ,94,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01024-108,Laricio Pine Quer,X,1260,3448506,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,100",P00000994,SRL,5155695,,
20260119 ,95,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01024-110,Laricio Pine Quer,X,1260,D005062772,,Y,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"1,100",P00003143,SRL,5192678,,
20260119 ,96,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01037-108,Altai Larch,X,1260,231231-11,14-01037-002,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,567,,SH,,,
20260119 ,97,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01037-108,Altai Larch,X,1260,D007028746,14-01037-002,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,840",P00004511,SH,55032787,,
20260119 ,98,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01037-108,Altai Larch,X,1260,D007029810,14-01037-002,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,247",P00004511,SH,55032787,,
20260119 ,99,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01037-111,Altai Larch,X,1260,3725495,14-01037-003,Y,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"3,480",P00001441,SH,55022527,,
20260119 ,100,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01037-111,Altai Larch,X,1260,3725512,14-01037-003,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,040",P00001441,SH,55022527,,
20260119 ,101,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01037-111,Altai Larch,X,1260,3725553,14-01037-003,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,500",P00001441,SH,55022527,,
20260119 ,102,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01037-117,Altai Larch,X,1260,D005081446,,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,523,P00003142,SE,5192507,,
20260119 ,103,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01037-117,Altai Larch,X,1260,D007289159,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,040",P00004783,SE,5215897,,
20260119 ,104,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01037-117,Altai Larch,X,1260,D007289179,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,910",P00004783,SE,5215897,,
20260119 ,105,N,본사,본사창고,[7] 상품,[1] 모양지,,14-01037-117,Altai Larch,X,1260,D007289109,,N,,m,사용,"3,530",P00004783,SE,5217258,,
20260119 ,106,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01038-119,LARIX KOMBI,X,1260,3107840,,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"1,733",P00000383,SE,5144416,,
20260119 ,107,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01038-119,LARIX KOMBI,X,1260,3107872,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,930",P00000383,SE,5144416,,
20260119 ,108,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01038-119,LARIX KOMBI,X,1260,3107848,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,900",P00000383,SE,5145531,,
20260119 ,109,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01061-005,Kassandra Pine,X,1260,3671384,,Y,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"1,415",P00001367,SE,5159331,,
20260119 ,110,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01061-005,Kassandra Pine,X,1260,4112580,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,340",P00002017,SE,5170480,,
20260119 ,111,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01061-005,Kassandra Pine,X,1260,4112669,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,330",P00002017,SE,5170480,,
20260119 ,112,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01061-005,Kassandra Pine,X,1260,4112534,,N,[NW1A-5] 석남창고 1층 남쪽 5열,m,사용,"4,320",P00002017,SE,5173314,,
20260119 ,113,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01090-002,Santorini Pine,X,1260,D005497220,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,030",P00003610,SE,5200655,,
20260119 ,114,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01090-002,Santorini Pine,X,1260,D005497242,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,180",P00003610,SE,5200655,,
20260119 ,115,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01090-002,Santorini Pine,X,1260,D005497271,,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,980",P00003610,SE,5200655,,
20260119 ,116,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01090-002,Santorini Pine,X,1260,D005497288,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,020",P00003610,SE,5200655,,
20260119 ,117,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-01090-002,Santorini Pine,X,1260,D005497316,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,060",P00003610,SE,5200655,,
20260119 ,118,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-05031-111,Lathi Birch,X,1260,D005621849,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,450",P00003682,SE,5203039,,
20260119 ,119,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-05031-111,Lathi Birch,X,1260,D005621913,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,560",P00003682,SE,5203039,,
20260119 ,120,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-05031-111,Lathi Birch,X,1260,D005622007,,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"1,850",P00003682,SE,5203039,,
20260119 ,121,N,본사,본사창고,[7] 상품,[1] 모양지,일반,14-05031-111,Lathi Birch,X,1260,D005622017,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,550",P00003682,SE,5203039,,
20260119 ,122,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005691421,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,790",P00003751,SE,5204312,,
20260119 ,123,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005691459,,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"3,150",P00003751,SE,5204696,,
20260119 ,124,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005801918,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"2,900",P00003887,SE,5206306,,
20260119 ,125,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005801949,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"2,920",P00003887,SE,5206306,,
20260119 ,126,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005801961,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"2,920",P00003887,SE,5206306,,
20260119 ,127,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005801978,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"2,930",P00003887,SE,5206306,,
20260119 ,128,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005801763,,Y,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"1,490",P00003887,SE,5208006,,
20260119 ,129,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D005801853,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"2,810",P00003887,SE,5208006,,
20260119 ,130,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D007456889,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,050",P00004814,SE,5217258,,
20260119 ,131,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D007456919,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,050",P00004814,SE,5217258,,
20260119 ,132,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D007456962,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,100",P00004814,SE,5217258,,
20260119 ,133,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D007456990,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,140",P00004814,SE,5217258,,
20260119 ,134,N,본사,본사창고,[7] 상품,[1] 모양지,,14-05054-105,Imatra Birch,NO,1260,D007457033,,N,[NW1A-1] 석남창고 1층 남쪽 1열,m,사용,"4,140",P00004814,SE,5217258,,
